,wine_type,fixed_acidity,volatile_acidity,citric_acid,residual_sugar,total_sulfur_dioxide,density,pH,sulphates,alcohol,quality,sulphates_level_medium,sulphates_level_minimum
34,1,8.1,0.38,0.28,2.1,18.5,0.9968,3.23,0.73,9.7,7.0,0,0
35,1,7.55,0.525,0.09,1.5,19.0,0.99715,3.5,0.48,9.8,4.0,0,0
36,1,7.3,0.45,0.36,2.45,87.0,0.9978,3.33,0.83,10.5,5.0,0,0
37,1,8.8,0.61,0.3,2.8,46.0,0.9976,3.26,0.51,9.3,4.0,1,0
38,1,7.5,0.49,0.2,2.6,14.0,0.9968,3.21,0.9,10.5,6.0,0,0
39,1,8.1,0.66,0.22,2.2,23.0,0.9968,3.3,1.2,10.3,5.0,0,0
40,1,6.8,0.67,0.02,1.8,11.0,0.9962,3.48,0.52,9.5,5.0,1,0
41,1,4.6,0.52,0.15,2.1,65.0,0.9964999999999999,3.9,0.56,9.9,5.0,1,0
42,1,7.7,0.935,0.43,2.2,114.0,0.997,3.25,0.5700000000000001,9.2,5.0,0,0
43,1,8.7,0.29,0.52,1.6,37.0,0.9969,3.25,0.58,9.5,5.0,1,0
44,1,6.4,0.4,0.23,1.6,12.0,0.9958,3.34,0.56,9.2,5.0,1,0
45,1,5.6,0.31,0.37,1.4,30.0,0.9954,3.32,0.58,9.2,5.0,1,0
46,1,6.5,0.66,0.26,1.7,23.0,0.9957,3.33,0.74,9.2,5.0,0,0
47,1,6.6,0.52,0.04,2.2,15.0,0.9956,3.4,0.63,9.4,6.0,1,0
48,1,6.6,0.5,0.04,2.1,14.0,0.9955,3.39,0.64,9.4,6.0,1,0
49,1,8.6,0.505,0.095,3.0,119.0,0.99555,3.2,0.63,9.4,6.0,1,0
50,1,7.6,0.51,0.15,2.8,73.0,0.9955,3.17,0.63,9.45,6.0,1,0
51,1,7.7,0.62,0.04,3.8,45.0,0.9978,3.34,0.53,9.5,5.0,1,0
52,1,7.65,0.42,0.135,3.4,10.0,0.9971,3.04,0.63,9.6,5.0,1,0
53,1,7.5,0.63,0.12,5.1,110.0,0.9983,3.26,0.77,9.4,5.0,0,0
54,1,7.8,0.59,0.18,2.3,54.0,0.9975,3.43,0.59,9.5,5.0,1,0
55,1,7.3,0.39,0.31,2.4,46.0,0.9962,3.41,0.54,9.4,5.0,1,0
56,1,8.8,0.4,0.4,2.2,52.0,0.998,3.44,0.64,9.2,5.0,1,0
57,1,7.7,0.69,0.49,1.8,49.0,0.9968,3.395,0.71,9.3,5.0,0,0
58,1,7.5,0.52,0.16,1.9,35.0,0.9968,3.38,0.62,9.5,5.0,1,0
59,1,7.0,0.735,0.05,2.0,54.0,0.9966,3.39,0.57,9.8,5.0,1,0
60,1,7.2,0.725,0.05,1.95,11.0,0.9967,3.41,0.575,9.7,5.0,0,0
61,1,7.5,0.715,0.060000000000000005,1.5,39.0,0.9968,3.42,0.58,9.6,5.0,1,0
62,1,6.6,0.705,0.07,1.6,15.0,0.9962,3.44,0.58,10.7,5.0,1,0
63,1,9.3,0.32,0.09,2.0,65.0,0.9969,3.28,0.79,10.7,5.0,0,0
64,1,8.0,0.705,0.05,1.9,19.0,0.9962,3.34,0.95,10.5,6.0,0,0
65,1,7.7,0.63,0.08,1.9,27.0,0.9967,3.32,0.54,9.5,6.0,1,0
66,1,7.7,0.67,0.23,1.9,96.0,0.9962,3.32,0.48,9.5,5.0,0,0
67,1,7.7,0.69,0.22,1.9,94.0,0.9961,3.31,0.48,9.5,5.0,0,0
68,1,8.3,0.675,0.26,2.1,88.5,0.9976,3.31,0.53,9.5,5.0,1,0
69,1,9.7,0.32,0.54,2.5,83.0,0.9984,3.28,0.82,9.6,5.0,0,0
70,1,8.8,0.41,0.64,2.2,42.0,0.9986,3.54,0.66,10.5,5.0,1,0
71,1,6.8,0.785,0.0,2.4,30.0,0.9966,3.52,0.55,10.7,5.0,1,0
72,1,6.7,0.75,0.12,2.0,80.0,0.9958,3.38,0.52,10.1,5.0,1,0
73,1,6.75,0.625,0.2,1.5,119.0,0.9972,3.16,0.555,9.1,4.0,0,0
74,1,6.2,0.45,0.2,1.6,15.0,0.9958,3.41,0.56,9.2,5.0,1,0
75,1,7.8,0.43,0.7,1.9,67.0,0.9974,3.13,1.28,9.149999999999999,5.0,0,0
76,1,7.4,0.5,0.47,2.0,73.0,0.997,3.36,0.57,9.1,5.0,1,0
77,1,7.3,0.67,0.26,1.8,51.0,0.9969,3.16,1.14,9.4,5.0,0,0
78,1,6.3,0.3,0.48,1.8,61.0,0.9959,3.44,0.78,10.3,5.0,0,0
79,1,6.9,0.55,0.15,1.85,40.0,0.9961,3.41,0.59,10.1,5.0,1,0
80,1,8.6,0.49,0.28,1.9,50.5,0.9972,3.4000000000000004,0.71,9.9,6.0,0,0
81,1,7.7,0.49,0.26,1.9,31.0,0.9966,3.39,0.64,9.6,5.0,1,0
82,1,9.3,0.39,0.44,2.1,125.0,0.9978,3.14,1.22,9.5,5.0,0,0
83,1,7.0,0.62,0.08,1.8,24.0,0.9978,3.48,0.53,9.5,5.0,1,0
84,1,7.9,0.52,0.26,1.9,140.0,0.9964,3.23,0.54,9.5,5.0,1,0
85,1,8.6,0.49,0.29,2.0,133.0,0.9972,2.93,0.535,9.8,5.0,0,0
86,1,5.0,0.56,0.04,1.4,85.0,0.9938,3.75,0.48,10.5,4.0,0,0
87,1,4.7,0.6,0.17,2.3,106.0,0.9932,3.85,0.6,10.6,6.0,1,0
88,1,6.8,0.775,0.0,3.0,23.0,0.9965,3.45,0.56,10.7,5.0,1,0
89,1,7.0,0.5,0.25,2.0,22.0,0.9963,3.25,0.63,9.2,5.0,1,0
90,1,7.6,0.9,0.06,2.5,10.0,0.9967,3.39,0.56,9.8,5.0,1,0
91,1,8.1,0.545,0.18,1.9,35.0,0.9972,3.3,0.59,9.0,6.0,1,0
92,1,8.3,0.61,0.3,2.1,50.0,0.9972,3.4,0.61,10.2,6.0,1,0
93,1,7.8,0.5,0.3,1.9,22.0,0.9959,3.31,0.56,10.4,6.0,1,0
94,1,8.1,0.575,0.22,2.1,65.0,0.9967,3.29,0.51,9.2,5.0,1,0
95,1,7.2,0.49,0.24,2.2,36.0,0.996,3.33,0.48,9.4,5.0,0,0
96,1,7.8,0.41,0.275,1.7,69.0,0.9973,3.08,1.31,9.3,5.0,0,0
97,1,6.2,0.63,0.31,1.7,64.0,0.9969,3.46,0.79,9.3,5.0,0,0
98,1,8.0,0.33,0.53,2.5,80.0,0.9976,3.37,0.8,9.3,5.0,0,0
99,1,8.1,0.785,0.52,2.0,72.0,0.9969,3.21,0.69,9.3,5.0,1,0
100,1,7.8,0.56,0.19,1.8,47.0,0.9964,3.19,0.93,9.5,5.0,0,0
101,1,8.4,0.62,0.09,2.2,108.0,0.9964,3.15,0.66,9.8,5.0,1,0
102,1,8.4,0.6,0.1,2.2,111.0,0.9964,3.15,0.66,9.8,5.0,1,0
103,1,10.1,0.31,0.44,2.2,46.0,0.9964999999999999,3.32,0.67,9.7,6.0,1,0
104,1,9.4,0.4,0.31,2.2,62.0,0.9966,3.07,0.63,10.5,6.0,1,0
105,1,8.3,0.54,0.28,1.9,40.0,0.9978,3.39,0.61,10.0,6.0,1,0
106,1,7.8,0.56,0.12,2.0,28.0,0.997,3.37,0.605,9.4,6.0,0,0
107,1,8.8,0.55,0.04,2.2,56.0,0.9962,3.355,0.6,10.9,6.0,1,0
108,1,7.0,0.69,0.08,1.8,89.0,0.9959,3.34,0.54,9.2,6.0,1,0
109,1,7.3,0.6924999999999999,0.09,1.7,89.0,0.9962,3.3,0.57,9.0,5.0,1,0
110,1,7.3,0.695,0.0,2.5,13.0,0.998,3.49,0.52,9.2,5.0,1,0
111,1,8.0,0.71,0.0,2.6,34.0,0.9976,3.44,0.53,9.5,5.0,1,0
112,1,7.8,0.5,0.02,1.6,102.0,0.9978,3.39,0.48,9.5,5.0,0,0
113,1,8.1,0.62,0.04,1.9,90.0,0.9984,3.16,0.51,9.4,5.0,1,0
114,1,8.2,1.33,0.0,1.7,12.0,0.9964,3.53,0.49,10.9,5.0,0,0
115,1,8.1,1.33,0.0,1.8,12.0,0.9964,3.54,0.48,10.9,5.0,0,0
116,1,8.0,0.59,0.16,1.8,16.0,0.9962,3.42,0.53,10.5,5.0,0,0
117,1,8.0,0.38,0.15,1.8,19.0,0.9955,3.42,0.57,9.4,5.0,1,0
118,1,8.0,0.745,0.155,2.0,134.0,0.9968,3.24,0.66,9.4,5.0,1,0
119,1,5.6,0.5,0.09,2.3,99.0,0.9937,3.63,0.63,9.600000000000001,5.0,1,0
120,1,6.6,0.5,0.01,1.5,26.0,0.9952,3.4,0.58,9.8,6.0,1,0
121,1,7.9,1.04,0.05,2.2,29.0,0.9959,3.22,0.55,9.9,6.0,1,0
122,1,8.4,0.745,0.11,1.9,63.0,0.9965,3.19,0.82,9.6,5.0,0,0
123,1,8.3,0.715,0.15,1.8,52.0,0.9968,3.23,0.77,9.5,5.0,0,0
124,1,7.2,0.415,0.16999999999999998,2.0,45.0,0.9972,3.48,0.64,9.5,5.0,1,0
125,1,7.8,0.56,0.19,2.1,105.0,0.9962,3.33,0.54,9.5,5.0,1,0
126,1,7.8,0.56,0.19,2.0,108.0,0.9962,3.32,0.54,9.5,5.0,1,0
127,1,5.2,0.34,0.0,1.8,63.0,0.9958,3.335,0.56,9.5,5.0,0,0
128,1,6.3,0.39,0.08,1.7,20.0,0.9954,3.34,0.58,9.4,5.0,1,0
129,1,8.1,0.67,0.05,1.8,141.0,0.9968,3.17,0.62,9.4,5.0,1,0
130,1,5.8,0.68,0.02,1.8,94.0,0.9944,3.54,0.52,9.4,5.0,1,0
131,1,7.6,0.49,0.26,1.6,88.0,0.9968,3.11,0.8,9.3,5.0,0,0
132,1,6.9,0.49,0.1,2.3,30.0,0.9959,3.42,0.58,10.2,6.0,1,0
133,1,8.2,0.4,0.44,2.8,43.0,0.9975,3.53,0.61,10.5,6.0,1,0
134,1,7.3,0.33,0.47,2.1,11.0,0.9958,3.33,0.53,10.3,6.0,1,0
135,1,9.2,0.52,1.0,3.4,69.0,0.9996,3.34,0.575,9.4,4.0,0,0
136,1,7.5,0.6,0.03,1.8,99.0,0.995,3.35,0.54,10.1,5.0,1,0
137,1,7.1,0.43,0.42,5.5,129.0,0.9973,3.42,0.72,10.5,5.0,0,0
138,1,7.1,0.43,0.42,5.5,128.0,0.9973,3.42,0.71,10.5,5.0,0,0
139,1,7.1,0.68,0.0,2.2,22.0,0.9969,3.48,0.5,9.3,5.0,0,0
140,1,6.8,0.6,0.18,1.9,86.0,0.9968,3.59,0.57,9.3,5.0,1,0
141,1,7.6,0.68,0.03,2.0,20.0,0.9959,3.2,0.56,9.3,5.0,1,0
142,1,7.6,0.68,0.02,1.3,20.0,0.9965,3.17,0.565,9.2,4.0,0,0
143,1,7.8,0.53,0.04,1.7,31.0,0.9964,3.33,0.56,10.0,6.0,1,0
144,1,7.4,0.6,0.26,7.3,121.0,0.9982,3.37,0.49,9.4,5.0,0,0
145,1,7.3,0.59,0.26,7.2,121.0,0.9981,3.37,0.49,9.4,5.0,0,0
146,1,7.8,0.63,0.48,1.7,96.0,0.9961,3.355,0.505,9.5,5.0,1,0
147,1,6.8,0.64,0.1,2.1,101.0,0.9956,3.34,0.52,10.2,5.0,1,0
148,1,7.3,0.63,0.03,1.6,42.0,0.9956,3.37,0.48,9.0,4.0,0,0
149,1,6.8,0.63,0.07,2.1,44.0,0.9953,3.47,0.55,10.4,6.0,1,0
150,1,7.5,0.705,0.05,1.8,63.0,0.9964,3.365,0.515,9.5,5.0,0,0
151,1,7.9,0.885,0.03,1.8,8.0,0.9972,3.36,0.33,9.1,4.0,0,0
152,1,8.0,0.42,0.17,2.0,18.0,0.9972,3.29,0.61,9.2,6.0,1,0
153,1,7.4,0.62,0.05,1.9,42.0,0.9961,3.42,0.57,9.35,6.0,1,0
154,1,7.3,0.38,0.21,2.0,35.0,0.9961,3.33,0.47,9.5,5.0,0,0
155,1,7.35,0.5,0.04,1.5,49.0,0.9958,3.35,0.78,9.5,5.0,0,0
156,1,7.5,0.52,0.42,2.3,38.0,0.9972,3.58,0.61,9.55,5.0,1,0
157,1,7.0,0.805,0.0,2.5,20.0,0.9969,3.48,0.56,9.6,5.0,1,0
158,1,8.8,0.61,0.14,2.4,42.0,0.9969,3.19,0.59,9.5,5.0,1,0
159,1,8.9,0.61,0.08,2.45,42.0,0.9972,3.12,0.575,9.3,5.0,0,0
160,1,7.2,0.61,0.02,2.5,42.0,0.9972,3.44,0.52,9.3,5.0,1,0
161,1,6.8,0.61,0.2,1.8,65.0,0.9971,3.54,0.58,9.3,5.0,1,0
162,1,6.7,0.62,0.21,1.9,62.0,0.997,3.52,0.58,9.3,5.0,1,0
163,1,7.1,0.31,0.57,2.0,66.0,0.9971,3.26,0.53,9.3,5.0,1,0
164,1,7.4,0.39,0.48,2.0,67.0,0.9972,3.34,0.55,9.2,5.0,1,0
165,1,7.7,0.705,0.1,2.0,26.0,0.9976,3.39,0.54,9.7,5.0,0,0
166,1,7.9,0.5,0.33,2.0,143.0,0.9968,3.2,0.55,9.5,5.0,1,0
167,1,7.9,0.49,0.32,1.9,144.0,0.9968,3.2,0.55,9.5,5.0,1,0
168,1,8.2,0.5,0.35,1.95,127.0,0.9976,3.23,0.62,9.4,5.0,1,0
169,1,6.4,0.37,0.25,1.9,126.5,0.9974,3.255,0.62,9.5,5.0,1,0
170,1,6.8,0.63,0.12,3.8,126.0,0.9969,3.28,0.61,9.5,5.0,1,0
171,1,7.6,0.55,0.21,2.2,28.0,0.9964,3.28,0.55,9.7,5.0,1,0
172,1,7.8,0.59,0.33,2.0,120.0,0.9968,3.25,0.54,9.4,5.0,1,0
173,1,7.3,0.58,0.3,2.4,55.0,0.9968,3.46,0.59,10.2,5.0,1,0
174,1,11.5,0.3,0.6,2.0,27.0,0.9981,3.11,0.97,10.1,6.0,0,0
175,1,5.4,0.835,0.08,1.2,93.0,0.9924,3.57,0.85,13.0,7.0,0,0
176,1,6.9,1.09,0.06,2.1,31.0,0.9948,3.51,0.835,11.4,6.5,0,0
177,1,9.6,0.32,0.47,1.4,24.0,0.99695,3.22,0.82,10.3,7.0,0,0
178,1,8.8,0.37,0.48,2.1,40.0,0.9975,3.04,1.03,9.3,5.0,0,0
179,1,6.8,0.5,0.41,1.5,49.0,0.99545,3.36,0.79,9.5,5.0,0,0
180,1,7.0,0.42,0.35,1.6,39.0,0.9961,3.34,0.55,9.2,5.0,1,0
181,1,7.0,0.43,0.36,1.6,37.0,0.99615,3.34,0.56,9.2,6.0,1,0
182,1,7.4,0.3,0.355,1.7000000000000002,28.0,0.9962,3.315,0.555,9.25,7.0,0,0
183,1,7.8,0.57,0.31,1.8,120.0,0.99625,3.29,0.53,9.3,5.0,1,0
184,1,7.8,0.44,0.28,2.7,95.0,0.9966,3.22,0.67,9.4,5.0,1,0
185,1,11.0,0.3,0.58,2.1,19.0,0.998,3.31,0.88,10.5,7.0,0,0
186,1,9.7,0.53,0.6,2.0,19.0,0.99585,3.3,0.86,12.4,6.0,0,0
187,1,8.0,0.725,0.59,2.1,19.0,0.99685,3.35,0.56,10.0,6.0,1,0
188,1,11.6,0.44,0.64,2.1,15.0,0.998,3.21,0.67,10.2,6.0,1,0
189,1,8.2,0.57,0.26,2.2,65.0,0.9959,3.3,0.43,10.1,6.0,0,0
190,1,7.8,0.735,0.08,2.4,41.0,0.9974,3.24,0.71,9.8,6.0,0,0
191,1,7.0,0.49,0.49,2.3,57.0,0.9974,3.34,0.76,10.5,5.0,0,0
192,1,8.7,0.625,0.16,2.0,49.0,0.9962,3.14,0.57,11.0,5.0,1,0
193,1,8.1,0.725,0.22,2.2,41.0,0.9967,3.36,0.55,9.1,5.0,1,0
194,1,7.5,0.49,0.19,1.9,44.0,0.9957,3.39,0.54,9.7,5.0,1,0
195,1,7.8,0.53,0.33,2.4,51.0,0.99655,3.3,0.6,9.5,5.0,1,0
196,1,7.8,0.51,0.37,2.0,58.0,0.9964,3.34,0.59,9.4,5.0,1,0
197,1,7.4,0.53,0.26,2.0,72.0,0.9957,3.15,0.595,9.4,5.0,1,0
198,1,6.8,0.61,0.04,2.0,10.0,0.99525,3.42,0.6,9.5,5.0,1,0
199,1,8.6,0.645,0.25,2.0,28.0,0.99815,3.28,0.6,10.0,6.0,1,0
200,1,8.4,0.635,0.36,2.0,55.0,0.99745,3.31,0.57,10.4,4.0,1,0
201,1,7.7,0.6125,0.25,2.0,63.0,0.99615,3.37,0.58,10.5,6.0,1,0
202,1,8.9,0.59,0.5,2.0,81.0,0.9964,3.34,0.605,9.5,6.0,0,0
203,1,9.0,0.82,0.14,2.6,23.0,0.996625,3.39,0.63,9.8,5.0,1,0
204,1,6.9,0.52,0.25,2.6,37.0,0.99685,3.46,0.5,11.0,5.0,0,0
205,1,5.2,0.48,0.04,1.6,43.0,0.9927,3.54,0.62,12.2,7.0,1,0
206,1,8.0,0.38,0.06,1.8,49.0,0.99625,3.37,0.52,9.9,6.0,1,0
207,1,8.5,0.37,0.075,2.8,58.0,0.998,3.34,0.7,9.6,6.0,1,0
208,1,8.2,1.0,0.09,2.3,37.0,0.99685,3.32,0.55,9.0,6.0,1,0
209,1,7.2,0.63,0.0,1.9,38.0,0.99675,3.37,0.58,9.0,6.0,1,0
210,1,7.2,0.645,0.0,1.9,39.0,0.99675,3.37,0.58,9.2,6.0,1,0
211,1,8.9,0.635,0.37,1.7,62.0,0.9971,3.0,0.645,9.3,6.0,0,0
212,1,12.0,0.6074999999999999,0.56,2.1,24.0,0.99925,3.14,0.71,9.55,6.0,0,0
213,1,7.7,0.58,0.1,1.8,109.0,0.99565,3.08,0.49,9.8,6.0,0,0
214,1,15.0,0.21,0.44,2.2,24.0,1.00005,3.07,0.84,9.2,6.0,0,0
215,1,7.3,0.66,0.0,2.0,23.0,0.9983,3.61,0.96,9.9,6.0,0,0
216,1,7.1,0.68,0.07,1.9,51.0,0.99685,3.38,0.52,9.5,5.0,1,0
217,1,8.2,0.6,0.17,2.3,73.0,0.9963,3.2,0.45,9.3,5.0,0,0
218,1,7.7,0.53,0.06,1.7,39.0,0.99615,3.35,0.48,9.8,6.0,0,0
219,1,7.949999999999999,0.565,0.44,1.6,37.0,0.9985,3.22,0.78,10.0,6.0,0,0
220,1,7.1,0.6,0.0,1.8,34.0,0.9972,3.47,0.7,9.9,6.0,1,0
221,1,11.1,0.35,0.48,1.85,21.0,0.9986,3.17,0.53,10.5,5.0,1,0
222,1,7.7,0.775,0.42,1.9,86.0,0.9959,3.23,0.59,9.5,5.0,1,0
223,1,8.0,0.57,0.23,3.2,119.0,0.99675,3.26,0.57,9.3,5.0,1,0
224,1,9.4,0.34,0.37,2.2,13.0,0.998,3.22,0.62,9.2,5.0,1,0
225,1,6.6,0.695,0.0,2.1,56.0,0.9968,3.49,0.67,9.2,5.0,1,0
226,1,7.7,0.41,0.76,1.8,45.0,0.9968,3.06,0.7350000000000001,9.4,5.0,0,0
227,1,10.0,0.31,0.47,2.6,33.0,0.9968,3.36,0.8,9.350000000000001,5.0,0,0
228,1,7.9,0.33,0.23,1.7,45.0,0.99625,3.29,0.65,9.3,5.0,1,0
229,1,7.0,0.42500000000000004,0.04,2.0,40.0,0.99565,3.35,0.6,9.4,4.0,1,0
230,1,8.0,0.52,0.03,1.7,35.0,0.99575,3.34,0.57,9.350000000000001,5.0,1,0
231,1,7.9,0.37,0.23,1.8,49.0,0.9963,3.28,0.67,9.3,5.0,1,0
232,1,12.5,0.56,0.49,1.8,27.0,0.99655,3.08,0.87,10.9,5.0,0,0
233,1,11.8,0.26,0.52,1.8,10.0,0.9968,3.2,0.72,10.2,7.0,0,0
234,1,8.1,0.87,0.475,3.3,61.0,1.00025,3.6,0.72,9.8,4.0,0,0
235,1,7.9,0.35,0.46,3.6,37.0,0.9973,3.35,0.86,10.0,8.0,0,0
236,1,6.9,0.54,0.04,3.0,27.0,0.9987,3.69,0.91,9.4,6.0,0,0
237,1,7.9,0.18,0.51,4.0,23.0,0.9996,3.28,0.97,10.1,6.0,0,0
238,1,7.9,0.545,0.06,4.0,61.0,0.999025,3.36,0.67,10.7,6.0,1,0
239,1,10.9,0.37,0.58,4.0,65.0,0.99935,3.22,0.78,10.1,5.0,0,0
240,1,8.4,0.715,0.2,2.4,38.0,0.99735,3.31,0.64,9.4,5.0,1,0
241,1,7.5,0.65,0.18,7.0,94.0,0.99915,3.38,0.77,9.4,5.0,0,0
242,1,10.3,0.32,0.45,6.4,13.0,0.9976,3.23,0.82,9.95,8.0,0,0
243,1,8.9,0.4,0.32,5.6,47.0,0.9991,3.38,0.77,10.5,7.0,0,0
244,1,11.4,0.26,0.44,3.6,19.0,0.9986,3.12,0.82,9.3,6.0,0,0
245,1,7.7,0.27,0.68,3.5,10.0,0.9972,3.25,1.08,9.9,7.0,0,0
246,1,7.6,0.52,0.12,3.45,53.0,0.9971,3.36,0.57,9.1,5.0,1,0
247,1,9.9,0.59,0.07,3.4,71.0,1.00015,3.31,0.71,9.8,5.0,0,0
248,1,12.0,0.45,0.12,3.0,49.0,0.9997,3.335,0.76,10.3,6.0,0,0
249,1,7.5,0.4,0.12,3.0,53.0,0.9967,3.37,0.7,10.3,6.0,1,0
250,1,8.7,0.52,0.09,2.5,49.0,0.9976,3.34,0.86,10.6,7.0,0,0
251,1,11.6,0.42,0.53,3.3,98.0,0.99775,3.2,0.95,10.4,5.0,0,0
252,1,11.0,0.2,0.48,2.0,18.0,0.9979,3.3,0.71,10.5,5.0,0,0
253,1,10.4,0.55,0.23,2.7,48.0,0.9994,3.22,0.64,10.3,6.0,1,0
254,1,6.9,0.36,0.25,2.4,16.0,0.9964,3.41,0.6,10.1,6.0,1,0
255,1,13.3,0.34,0.52,3.2,53.0,1.0014,3.05,0.64,9.5,6.0,0,0
256,1,10.8,0.5,0.46,2.5,27.0,1.0001,3.05,0.64,9.5,5.0,1,0
257,1,10.6,0.83,0.37,2.6,70.0,0.9981,3.16,0.52,9.55,5.0,1,0
258,1,7.1,0.63,0.06,2.0,29.0,0.99855,3.67,0.73,9.6,5.0,0,0
259,1,7.2,0.65,0.02,2.3,31.0,0.9993,3.67,0.8,9.7,5.0,0,0
260,1,6.9,0.67,0.06,2.1,33.0,0.99845,3.68,0.71,9.6,5.0,0,0
261,1,7.5,0.53,0.06,2.6,44.0,0.9965,3.38,0.59,10.7,6.0,1,0
262,1,7.9,0.6000000000000001,0.09,1.5,15.0,0.9973,3.22,0.64,10.1,6.0,1,0
263,1,8.3,0.705,0.12,2.6,28.0,0.9994,3.51,0.72,10.0,5.0,0,0
264,1,7.4,0.67,0.12,1.6,21.0,0.996,3.39,0.54,9.5,5.0,1,0
265,1,8.4,0.65,0.6,2.1,26.5,0.9973,3.2,0.52,9.2,5.0,1,0
266,1,8.0,0.53,0.48,2.5,25.0,0.9998,3.12,0.53,9.3,5.0,1,0
267,1,7.6,0.62,0.32,2.2,54.0,0.9966,3.36,0.52,9.4,5.0,1,0
268,1,10.3,0.41,0.42,2.4,14.0,0.9994,3.19,0.62,9.5,6.0,1,0
269,1,10.3,0.43,0.44,2.4,12.0,0.9994,3.19,0.63,9.5,6.0,1,0
270,1,7.4,0.29,0.38,1.7,30.0,0.9968,3.23,0.53,9.5,6.0,1,0
271,1,7.9,0.53,0.24,2.0,105.0,0.996,3.27,0.54,9.5,6.0,1,0
272,1,9.0,0.46,0.31,2.8,98.0,0.99815,3.32,0.535,9.5,6.0,1,0
273,1,8.6,0.47,0.3,3.0,135.0,0.9976,3.3,0.53,9.4,5.0,1,0
274,1,7.4,0.36,0.29,2.6,72.0,0.99645,3.39,0.68,11.0,5.0,1,0
275,1,7.1,0.35,0.29,2.5,53.0,0.9962,3.42,0.65,11.0,5.0,1,0
276,1,9.6,0.56,0.23,3.4,92.0,0.9996,3.3,0.65,10.1,5.0,1,0
277,1,9.6,0.77,0.12,2.9,74.0,0.99865,3.3,0.64,10.4,6.0,1,0
278,1,9.8,0.66,0.39,3.2,59.0,0.9989,3.37,0.71,11.5,7.0,0,0
279,1,9.3,0.61,0.26,3.4,87.0,0.99975,3.24,0.62,9.7,5.0,1,0
